"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6ECV2X9D","book","1995","Walker, Martin J.","The Cold War: a history","","978-0-8050-3454-7","","","","","1995","2025-03-21 18:50:25","2025-03-24 16:40:24","","","401","","","","","The Cold War","","","","","H. Holt","New York","","","","","","Library Catalog (Blacklight)","D842 .W28 1995","","","","https://catalog.libraries.psu.edu/catalog/2759070","Physical","1945-; Cold War; World politics","","","","","","","","","","","","","","","","","","","","1st Owl book ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8NCQHKQD","book","1976","Kaplan, Morton A.","The life and death of the cold war: selected studies in postwar statecraft","","978-0-88229-335-6","","","","","1976","2025-03-24 16:20:46","2025-03-24 16:40:29","","","301","","","","","The life and death of the cold war","","","","","Nelson-Hall","Chicago","","","","","","Library Catalog (Blacklight)","D842.5 .K36","","","","https://catalog.libraries.psu.edu/catalog/646749","Physical","World politics; 1945-1989","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E3X7JHAC","book","2015","Black, Jeremy","The Cold War: a military history","","978-1-4742-1799-6 978-1-4742-1798-9","","","","","2015","2025-03-24 16:23:25","2025-03-24 16:40:27","","","263","","","","","The Cold War","","","","","Bloomsbury Academic, an imprint of Bloomsbury Publishing Plc","London ; New York","","","","","","Library Catalog (Blacklight)","D842.2 .B55 2015","OCLC: 897016333","","","https://catalog.libraries.psu.edu/catalog/16212378","Physical","Cold War; 1945-1989; 1900 - 1999; 20th century; Cold War (1945-1989); History, Modern; Military history, Modern","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5P2VGHIZ","book","1966","Lukacs, John","A new history of the cold war","","","","","","","1966","2025-03-24 16:24:33","2025-03-24 16:38:41","","","426","","","","","","","","","","Anchor Books","Garden City, N.Y","","","","","","Library Catalog (Blacklight)","D840 .L8 1966","","","","https://catalog.libraries.psu.edu/catalog/1367642","Physical","Cold War; 1945-1989; History, Modern","","","","","","","","","","","","","","","","","","","","3d ed., expanded","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHXBF9UQ","book","2013","","The Oxford handbook of the Cold War","","978-0-19-923696-1","","","","34 essays by a team of leading scholars offering a broad reassessment of the Cold War, calling into question orthodox ways of ordering the chronology of the period and presenting new insights into the global dimension of the conflict","2013","2025-03-24 16:25:16","2025-03-24 16:40:32","","","660","","","","","","Oxford handbooks","","","","Oxford University Press","Oxford, U.K","","","","","","Library Catalog (Blacklight)","D840 .O94 2013","OCLC: 842414416","","","https://catalog.libraries.psu.edu/catalog/9615305","Physical","Cold War; World politics; 1945-1989","Immerman, Richard H.; Goedde, Petra","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZC49XK4P","book","1968","Mydans, Carl; Mydans, Shelley Smith","The violent peace","","","","","","","1968","2025-03-24 16:28:14","2025-03-24 16:40:37","","","478","","","","","","","","","","Atheneum","New York","","","","","","Library Catalog (Blacklight)","D842 .M9","","","","https://catalog.libraries.psu.edu/catalog/816094","Physical","1945-1989; 20th century; History, Modern; Military history, Modern","","","","","","","","","","","","","","","","","","","","1st ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23N759NG","book","2015","Tudda, Chris","Cold War summits: a history, from Potsdam to Malta","","978-1-4725-3227-5 978-1-4725-2958-9","","","","""This book examines six summits spanning the beginning and the end of the Cold War. Using declassified documents from U.S., British, and other archives, Chris Tudda shows how the Cold War developed from an ideological struggle between capitalism and communism into a truly global struggle. From Potsdam in 1945, to Malta in 1989, the nuclear superpowers met to determine how to end World War II, manage the arms race, and ultimately, end the Cold War. Meanwhile, the newly independent nations of the 'Third World, ' including the People's Republic of China, became active and respected members of the international community determined to manage their own fates independent of the superpowers. The six summits--Potsdam (1945), Bandung (1955), Glassboro (1967), Beijing (1972), Vienna (1972), and Malta (1989)--are here examined together in a single volume for the first time. An introductory essay provides a historiographical analysis of Cold War summitry, while the conclusion ties the summits together and demonstrates how the history of the Cold War can be understood not only by examining the meetings between the superpowers, but also by analyzing how the developing nations became agents of change and thus affected international relations""--From publisher's website","2015","2025-03-24 16:29:10","2025-03-24 16:40:11","","","225","","","","","Cold War summits","New approaches to international history","","","","Bloomsbury Academic, an imprint of Bloomsbury Publishing Plc","London, UK","","","","","","Library Catalog (Blacklight)","D842 .T83 2015","OCLC: 897016287","","","https://catalog.libraries.psu.edu/catalog/16212377","Physical","Cold War; World politics; 1945-1989; 1900 - 1999; 20th century; Cold War (1945-1989); Diplomacy; History; International relations; Summit meetings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XYAJBVE","book","1967","Burnham, James","The war we are in: the last decade and the next","","","","","","","1967","2025-03-24 16:30:54","2025-03-24 16:40:39","","","351","","","","","The war we are in","","","","","Arlington House","New Rochelle, N.Y","","","","","","Library Catalog (Blacklight)","D843 .B78","","","","https://catalog.libraries.psu.edu/catalog/816532","Physical","World politics; 1955-1965; 1965-1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPVXFMHS","book","2023","Catherwood, Christopher","Churchill, Eisenhower, and the making of the modern world","","978-1-4930-5052-9","","","","""Explores how two great WWII leaders, Winston Churchill and Dwight Eisenhower, created the postwar world order that lasted for nearly seventy-five years""--","2023","2025-03-24 16:32:02","2025-03-24 16:40:03","","","266","","","","","","","","","","Lyons Press","Essex, Connecticut","","","","","","Library Catalog (Blacklight)","D843 .C338 2023","OCLC: 1309336035","","","https://catalog.libraries.psu.edu/catalog/39334714","Physical","Cold War; World politics; 1945-1989; 20th century; History; 1900-1999; 20e siècle; Churchill, Winston; Démocratisation; Democratization; Diplomatic history; Diplomatic relations; États-Unis; Foreign relations; Franklin Delano; Grande-Bretagne; Great Britain; Guerre froide; Guerre mondiale, 1939-1945; Histoire; Histoire diplomatique; Politique mondiale; Relations extérieures; Roosevelt, Franklin D; United States; World War, 1939-1945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FWXL85DA","book","1979","DePorte, A. W.","Europe between the superpowers: the enduring balance","","978-0-300-02229-2","","","","","1979","2025-03-24 16:37:41","2025-03-24 16:40:16","","","256","","","","","Europe between the superpowers","","","","","Yale University Press","New Haven","","","","","","Library Catalog (Blacklight)","D843 .D374","","","","https://catalog.libraries.psu.edu/catalog/1348952","Physical","World politics; 1945-1989; Foreign relations; United States; Balance of power; Europe; Politics and government; Soviet Union","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
